N,first,second,diff,diff_sd,field,first_hi,first_lo,second_hi,second_lo
98,0.061224489795918366,0.1326530612244898,-0.07142857142857142,0.0261491618623928,missed_stars,0.1122738270565958,0.019603083952027412,0.2,0.07316438008130081
287,0.027874564459930314,0.010452961672473868,0.017421602787456445,0.0077365020157539,missed_galaxies,0.04763132056946488,0.010273972602739725,0.02422145328719723,0.0
385,0.26844267006039163,0.2685113800267363,-6.870996634471311e-5,0.002277133418653588,position,0.28306398364175966,0.25382153165646637,0.2828783840526656,0.25454175549171043
385,0.17176686098482805,0.18171850994841302,-0.009951648963584954,0.009326169967134115,flux_r_mag,0.19551659241316602,0.15023670382591733,0.20552278366524934,0.16053836591563864
385,0.7481398837039052,0.7484364003963436,-0.00029651669243894595,0.05314333763780537,flux_r_nmgy,0.9301732555132473,0.5877751764894061,0.9249188126696966,0.6109194443986867
83,13.03072304982206,12.768721444199882,0.26200160562218416,0.6030562174203794,gal_angle_deg,23.491756265457266,16.135574933255565,23.224946195791066,15.939201448302711
170,0.16218890565009306,0.31483135825680086,-0.15264245260670786,0.01415465039751717,gal_frac_dev,0.24396382570564284,0.16788048266631853,0.30132657718830075,0.24566028769467319
170,0.14305282119274823,0.11048282622942228,0.0325699949633259,0.006402915256897813,gal_axis_ratio,0.17067312018563452,0.1302252120005601,0.13326424299398013,0.10292158491345328
170,0.6304696539434061,0.544695047709678,0.08577460623372857,0.0464903936497637,gal_radius_px,0.8866149220207264,0.558410915721318,0.6766048093213516,0.4729371692063421
310,0.6388246797372258,0.6241023722670054,0.014722307470220587,0.0076203596801176455,color_ug,0.7421082176092695,0.5426899761080615,0.7248019996727803,0.5292439364053995
381,0.1689064644758192,0.16751800825346838,0.001388456222351095,0.0028524964450707406,color_gr,0.1994784172989192,0.14432377800710097,0.19783559770137937,0.14381579902391245
385,0.1151688132498981,0.11323922293029418,0.001929590319603955,0.00222063274643937,color_ri,0.1369752641570824,0.0970020686340481,0.1327980152670712,0.09643674526866748
384,0.1734395265579417,0.18112361920929068,-0.0076840926513490615,0.0026419323040673156,color_iz,0.2028307361095974,0.14637127481784812,0.21138029726649485,0.15287234126146604
